,action,effectiveness
0,Abandon aquaculture facilities: allow brackish/saline marshes or swamps to recover without active intervention,Unknown effectiveness (limited evidence)
1,Abandon aquaculture facilities: allow freshwater marshes or swamps to recover without active intervention,No evidence found (no assessment)
2,Abandon cropland: allow brackish/saline marshes or swamps to recover without active intervention,No evidence found (no assessment)
3,Abandon cropland: allow freshwater marshes or swamps to recover without active intervention,Likely to be beneficial
4,Abandon mined land: allow brackish/saline marshes or swamps to recover without active intervention,Unknown effectiveness (limited evidence)
5,Abandon mined land: allow freshwater marshes or swamps to recover without active intervention,No evidence found (no assessment)
6,Abandon plantations: allow marshes or swamps to recover without active intervention,No evidence found (no assessment)
7,Actively manage water level before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment)
8,Actively manage water level before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
9,Actively manage water level before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
10,Actively manage water level before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment)
11,Actively manage water level: brackish/saline swamps,No evidence found (no assessment)
12,Actively manage water level: brackish/salt marshes,Likely to be beneficial
13,Actively manage water level: freshwater marshes,Beneficial
14,Actively manage water level: freshwater swamps,Likely to be beneficial
15,Adapt bat roost structures to buffer against temperature extremes,No evidence found (no assessment)
16,Add below-ground organic matter before/after planting non-woody plants: brackish/saline wetlands,Likely to be beneficial
17,Add below-ground organic matter before/after planting non-woody plants: freshwater wetlands,Trade-off between benefit and harms
18,Add below-ground organic matter before/after planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence)
19,Add below-ground organic matter before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence)
20,Add below-ground organic matter: brackish/saline swamps,No evidence found (no assessment)
21,Add below-ground organic matter: brackish/salt marshes,Unknown effectiveness (limited evidence)
22,Add below-ground organic matter: freshwater marshes,No evidence found (no assessment)
23,Add below-ground organic matter: freshwater swamps,No evidence found (no assessment)
24,Add carbon to soil before or after seeding/planting,Evidence not assessed
25,Add charcoal to soil before seeding/planting,Evidence not assessed
26,Add chemicals or minerals to sediment to remove or neutralize pollutants,No evidence found (no assessment)
27,Add chemicals or minerals to sediment to remove or neutralize pollutants,No evidence found (no assessment)
28,Add chemicals or minerals to sediments to remove or neutralise pollutants,Unknown effectiveness (limited evidence)
29,Add clean water to reduce pollution,No evidence found (no assessment)
30,Add cover other than mulch,No evidence found (no assessment)
31,Add cover other than mulch before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment)
32,Add cover other than mulch before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
33,Add cover other than mulch before/after planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence)
34,Add cover other than mulch before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence)
35,Add fertilizer to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
36,Add fertilizer to soil before or after seeding/planting,Evidence not assessed
37,Add fresh peat to peatland (before planting),Unknown effectiveness (limited evidence)
38,Add gypsum to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
39,Add inorganic fertilizer (before/after planting),Trade-off between benefit and harms
40,Add inorganic fertilizer (without planting),Unknown effectiveness (limited evidence)
41,Add inorganic fertilizer before/after planting non-woody plants: brackish/saline wetlands,Trade-off between benefit and harms
42,Add inorganic fertilizer before/after planting non-woody plants: freshwater wetlands,Likely to be beneficial
43,Add inorganic fertilizer before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
44,Add inorganic fertilizer before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence)
45,Add inorganic fertilizer: brackish/saline swamps,No evidence found (no assessment)
46,Add inorganic fertilizer: brackish/salt marshes,Unknown effectiveness (limited evidence)
