,Unnamed: 0,action,effectiveness,effectiveness_number
0,0,Abandon aquaculture facilities: allow brackish/saline marshes or swamps to recover without active intervention,Unknown effectiveness (limited evidence),1
1,1,Abandon aquaculture facilities: allow freshwater marshes or swamps to recover without active intervention,No evidence found (no assessment),1
2,2,Abandon cropland: allow brackish/saline marshes or swamps to recover without active intervention,No evidence found (no assessment),1
3,3,Abandon cropland: allow freshwater marshes or swamps to recover without active intervention,Likely to be beneficial,2
4,4,Abandon mined land: allow brackish/saline marshes or swamps to recover without active intervention,Unknown effectiveness (limited evidence),1
5,5,Abandon mined land: allow freshwater marshes or swamps to recover without active intervention,No evidence found (no assessment),1
6,6,Abandon plantations: allow marshes or swamps to recover without active intervention,No evidence found (no assessment),1
7,7,Actively manage water level before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment),1
8,8,Actively manage water level before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence),1
9,9,Actively manage water level before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment),1
10,10,Actively manage water level before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment),1
11,11,Actively manage water level: brackish/saline swamps,No evidence found (no assessment),1
12,12,Actively manage water level: brackish/salt marshes,Likely to be beneficial,2
13,13,Actively manage water level: freshwater marshes,Beneficial,2
14,14,Actively manage water level: freshwater swamps,Likely to be beneficial,2
15,15,Adapt bat roost structures to buffer against temperature extremes,No evidence found (no assessment),1
16,16,Add below-ground organic matter before/after planting non-woody plants: brackish/saline wetlands,Likely to be beneficial,2
17,17,Add below-ground organic matter before/after planting non-woody plants: freshwater wetlands,Trade-off between benefit and harms,1
18,18,Add below-ground organic matter before/after planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
19,19,Add below-ground organic matter before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence),1
20,20,Add below-ground organic matter: brackish/saline swamps,No evidence found (no assessment),1
21,21,Add below-ground organic matter: brackish/salt marshes,Unknown effectiveness (limited evidence),1
22,22,Add below-ground organic matter: freshwater marshes,No evidence found (no assessment),1
23,23,Add below-ground organic matter: freshwater swamps,No evidence found (no assessment),1
24,24,Add carbon to soil before or after seeding/planting,Evidence not assessed,1
25,25,Add charcoal to soil before seeding/planting,Evidence not assessed,1
26,26,Add chemicals or minerals to sediment to remove or neutralize pollutants,No evidence found (no assessment),1
27,27,Add chemicals or minerals to sediment to remove or neutralize pollutants,No evidence found (no assessment),1
28,28,Add chemicals or minerals to sediments to remove or neutralise pollutants,Unknown effectiveness (limited evidence),1
29,29,Add clean water to reduce pollution,No evidence found (no assessment),1
30,30,Add cover other than mulch,No evidence found (no assessment),1
31,31,Add cover other than mulch before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment),1
32,32,Add cover other than mulch before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence),1
33,33,Add cover other than mulch before/after planting trees/shrubs: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
34,34,Add cover other than mulch before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence),1
35,35,Add fertilizer to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
36,36,Add fertilizer to soil before or after seeding/planting,Evidence not assessed,1
37,37,Add fresh peat to peatland (before planting),Unknown effectiveness (limited evidence),1
38,38,Add gypsum to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
39,39,Add inorganic fertilizer (before/after planting),Trade-off between benefit and harms,1
40,40,Add inorganic fertilizer (without planting),Unknown effectiveness (limited evidence),1
41,41,Add inorganic fertilizer before/after planting non-woody plants: brackish/saline wetlands,Trade-off between benefit and harms,1
42,42,Add inorganic fertilizer before/after planting non-woody plants: freshwater wetlands,Likely to be beneficial,2
43,43,Add inorganic fertilizer before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment),1
44,44,Add inorganic fertilizer before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence),1
45,45,Add inorganic fertilizer: brackish/saline swamps,No evidence found (no assessment),1
46,46,Add inorganic fertilizer: brackish/salt marshes,Unknown effectiveness (limited evidence),1
47,47,Add inorganic fertilizer: freshwater marshes,Unknown effectiveness (limited evidence),1
48,48,Add inorganic fertilizer: freshwater swamps,No evidence found (no assessment),1
49,49,Add lights to fishing gear,Awaiting assessment,1
50,50,Add lime (before/after planting),Likely to be ineffective or harmful,0
51,51,Add lime or similar chemicals before/after planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
52,52,Add lime or similar chemicals before/after planting non-woody plants: freshwater wetlands,No evidence found (no assessment),1
